Departamentos,Td mujeres %,td hombres %,td general %
Antioquia,15,8.4,11.2
Atlántico,10.1,4.9,7.1
Bogotá D.C,12.3,9.7,10.9
Bolivar,7.5,3.4,5
Boyacá,11.3,6.8,8.6
Caldas,14.4,8.8,11
Caquetá,16,8.1,11.1
Cauca,16.7,6.2,10.2
César ,19.6,9,13.2
Córdoba,15.4,8.3,11.2
Cundinamarca ,14.5,8.2,11
Chocó,19.8,7.9,12
Huila,11,6.4,8.2
La Guajira,9.9,3.8,6.5
Magdalena,15.5,5.2,9.2
Meta,16.1,11.5,13.4
Nariño,8.8,4.5,6.3
Norte de Santander,18,12.5,14.6
Quindio,19.7,11.8,15.2
Risaralda,9.9,5.9,7.6
Santander,11.9,7.8,9.6
Sucre,17.8,7,11.2
Tolima,20.3,11.7,15.3
Valle del Cauca,15,9.2,11.9
