Fecha;Agricultura;Minas;Industrias manufactureras;Servicios públicos;Construcción;Comercio;Comunicaciones;Financiero y de seguros;Inmobiliario;Actividades profesionales;Administración pública;Entretenimiento y hogares;PIB
2005-Q1;9151;6601;17569;4482;7191;19788;2847;3823;12401;8137;15554;3136;119426
2005-Q2;9485;6850;19204;4645;5858;20745;3098;3808;12509;8733;16935;3117;125228
2005-Q3;9666;6923;19999;4750;6858;21351;2980;3926;12463;8893;17184;3224;128396
2005-Q4;9606;7056;20481;4808;9900;23543;3805;3868;12860;10294;21509;3299;141803
2006-Q1;9226;6879;18676;4713;7582;20981;3389;4218;12917;8685;16172;3301;127135
2006-Q2;9473;6776;19868;4853;6437;22082;3723;3961;13110;9274;17483;3325;131976
2006-Q3;10094;7179;21892;4984;8120;23344;3514;4048;13007;9550;18020;3398;138319
2006-Q4;9924;7225;22450;5129;11288;25519;4004;4213;13231;11083;22794;3400;152004
2007-Q1;9638;6745;20562;5017;8055;22818;3804;4577;13386;9311;16699;3476;135585
2007-Q2;9868;6857;21554;5054;7718;23859;4026;4608;13550;9881;18104;3466;140930
2007-Q3;10528;7215;23087;5155;8535;25054;4415;4585;13456;10258;18848;3548;147822
2007-Q4;10205;7617;24117;5286;11439;27612;4516;4931;13833;11796;23863;3645;162120
2008-Q1;9877;7474;21432;4943;8215;24312;4104;5116;13590;9837;17247;3596;142532
2008-Q2;9873;7572;22251;5090;9130;24894;4219;4886;13875;10323;18855;3567;147657
2008-Q3;10320;7997;23064;5229;10532;25554;4418;5070;13913;10518;19029;3688;152655
2008-Q4;9844;8058;22892;5357;11413;27586;4378;5526;14352;12122;24037;3707;162869
2009-Q1;9577;8074;20514;4974;8148;23873;3855;5478;14106;10047;17613;3645;142897
2009-Q2;9626;8397;20804;5128;9845;24649;3852;5168;14439;10667;19249;3650;148415
2009-Q3;10456;8800;22265;5387;10092;25529;3755;5280;14448;10850;19686;3761;153255
2009-Q4;10163;9388;22772;5624;12232;28133;4207;5389;14874;12434;25033;3840;168048
2010-Q1;9499;9260;20577;5388;8339;24805;4097;5313;14656;10271;18309;3753;147741
2010-Q2;9863;9689;21540;5424;9016;25765;4487;5460;14959;10981;20198;3712;155418
2010-Q3;10298;9596;22479;5547;9818;26973;4660;5643;14956;11172;20383;3870;159780
2010-Q4;10282;9882;23385;5576;12874;30104;5012;5896;15361;12930;26473;3924;177213
2011-Q1;10126;10211;21854;5519;8603;26298;4763;6025;15081;10872;19301;3899;157757
2011-Q2;10013;10910;22563;5559;9624;27685;4833;6056;15397;11673;21173;3954;165592
2011-Q3;10407;11321;24200;5734;10873;29012;5144;6166;15357;12073;21579;4172;172491
2011-Q4;10159;11532;24280;5796;13436;32068;5413;6507;15793;13949;28212;4164;188789
2012-Q1;10360;11291;22533;5635;9709;27649;4899;6546;15524;11564;20341;4047;166834
2012-Q2;10450;11481;22828;5694;11376;28818;4909;6621;15868;12249;22343;4040;173647
2012-Q3;10638;11560;24191;5874;10511;29781;5038;6590;15870;12537;22864;4357;176763
2012-Q4;10277;12002;24115;5891;13454;33205;5569;6869;16316;14558;29735;4233;194172
2013-Q1;10749;11646;21566;5753;10352;28297;5234;7192;16052;11848;21340;4221;171252
2013-Q2;11607;12085;23676;5958;11962;30285;5357;7196;16406;12874;23647;4299;182966
2013-Q3;11421;12209;24723;6093;12906;31246;5643;7081;16370;13227;24205;4577;187150
2013-Q4;11059;12854;25116;6146;14910;35321;5984;7691;16797;15644;31339;4622;206572
2014-Q1;11471;12238;23048;6019;11870;29922;5708;7855;16597;12874;22576;4492;182373
2014-Q2;11482;11805;23875;6172;12851;31628;5861;7942;16858;13865;24888;4332;189633
2014-Q3;11661;11858;25320;6322;14091;32712;5778;8038;16930;14282;25654;4683;195307
2014-Q4;11526;12234;25586;6259;15790;36801;6307;8304;17279;16479;33290;4703;214276
2015-Q1;11812;11849;23207;5980;12737;31116;5748;8718;17030;13200;24266;4569;187863
2015-Q2;11843;12009;24112;6037;14134;32471;5817;8636;17374;13907;26860;4542;195931
2015-Q3;12426;11681;25896;6299;14588;33888;6015;8716;17460;14347;28226;4896;202620
2015-Q4;12042;12089;26574;6283;16583;37954;6381;8626;17961;15938;32724;4976;218278
2016-Q1;11740;11798;24216;6046;13675;32071;5753;8921;17604;12790;24545;4855;191905
2016-Q2;12054;11409;25567;5988;14472;33247;5854;8772;18062;13571;27986;4859;200023
2016-Q3;12509;11578;26260;6246;15246;34523;5965;8923;18099;13817;28401;5146;205517
2016-Q4;13139;11469;26963;6317;16732;39226;6232;9111;18524;15817;35266;5174;224044
2017-Q1;13104;10815;24359;6079;13095;32544;5699;9138;18098;12759;25267;4998;193865
2017-Q2;12691;10829;24397;6178;14263;34002;5883;9422;18543;13796;29097;4969;202483
2017-Q3;13284;10755;25977;6493;14860;35656;5802;9323;18670;14152;29405;5228;208890
2017-Q4;13118;11193;26402;6557;16688;39449;6374;9768;19184;16103;36454;5261;227417
2018-Q1;13292;10273;23856;6207;12914;33635;5736;9468;18597;13251;26463;5098;197172
2018-Q2;13332;10609;25402;6343;13503;35054;5999;9814;19052;14380;30579;5107;208320
2018-Q3;13587;10843;26569;6686;15160;36314;6148;9731;19171;14645;30713;5325;214679
2018-Q4;13231;11052;27092;6716;17077;40501;6557;9974;19651;16698;37955;5397;233428
2019-Q1;13525;10731;24542;6401;12406;35017;5923;10024;19157;13708;27572;5305;203446
2019-Q2;13470;10703;25558;6509;13665;36705;6235;10249;19644;14900;32214;5275;215123
2019-Q3;13751;10952;26979;6873;14748;38448;6125;10514;19739;15247;32294;5535;222090
2019-Q4;13742;11274;27475;6897;17055;42405;6584;10428;20204;17306;39797;5524;241300
